address,lat,long
"3000 S Federal Hwy, Delray Beach, FL, 33483",26.436888296296974,-80.07190378918484
"2829 N. Federal Highway, Fort Lauderdale, FL, 33306",26.16299264582328,-80.11568397827838
"8900 Colonial Center Dr, Fort Myers, FL, 33905",26.6139455,-81.81020692620896
"1545 E Merritt Island Causeway, Merritt Island, FL, 32952",28.35712729120235,-80.67467719506597
"405 NW 26th St, Miami, FL, 33127",25.8014809,-80.2020516
"20850 Northwest 2nd Ave, Miami Gardens, FL, 33169",25.96778095,-80.20652676049883
"7535 N. Kendall Dr, Miami, FL, 33156",25.69072605,-80.31216903611222
"4039 NE 1st Ave, Miami, FL, 33137",25.8139581,-80.193275
"8001 S Orange Blossom Trail, Orlando, FL, 32809",28.44689,-81.39370027664927
"4601 34TH ST N, Saint Petersburg, FL, 33714",27.80210045,-82.6796085
"11945 North Florida Avenue, Tampa, FL, 33612",28.057675714285715,-82.45928685714286
"11650 Abess Blvd, Jacksonville, FL, 32225",30.325247161480146,-81.49807952722854
"135 University Town Center, SARASOTA, FL, 34243",27.38496915,-82.45746949652911
"2223 N Westshore Blvd, Tampa, FL, 33607",27.964542,-82.52072077077685
"2935 N Orange Blossom Trail, Kissimmee, FL, 34744",28.314559903469355,-81.40370039394604
"5544 Okeechobee Boulevard, West Palm Beach, FL, 33417",26.70559678351625,-80.05609637680463
"6165 Avalon Boulevard, Alpharetta, GA, 30009",34.0709356,-84.2755623
"1400 Upper Hembree Rd, Roswell, GA, 30076",34.067196749999994,-84.31882034662866
"1580 Church St., Decatur, GA, 30033",33.7934221,-84.28522094520724
"2860 Cumberland Mall, Atlanta, GA, 30339",33.88017525,-84.46807076507707
"8805 Abercorn St, Savannah, GA, 31406",31.997834591675225,-81.1275552171395
"1450 Ala Moana Blvd, Honolulu, HI, 96814",21.2903309,-157.8440815
"2330 Kalakaua Ave, Honolulu, HI, 96815",21.2783385,-157.82607819743447
"2592 S Beverly St, Boise, ID, 83709",43.5790172,-116.26724562473144
"420 Olympia Dr, Bloomington, IL, 61704",40.47187446836298,-88.90793887370765
"901 North Rush Street, Chicago, IL, 60611",41.8993345,-87.6266015
"1200 Old Skokie Valley Road, Highland Park, IL, 60035",42.1745969,-87.8167347
"320 West Golf Road, Schaumburg, IL, 60195",42.049137,-88.088156
"50 W. Ogden Ave, Westmont, IL, 60559",41.81061745,-87.9783630069408
"1121 S Milwaukee Ave, Libertyville, IL, 60048",42.26677305,-87.95107741678723
"3200 Ogden Ave, Lisle, IL, 60532",41.79727715,-88.11510886047296
"8601 W 159th st, Orland Park, IL, 60462",41.6006771,-87.82904387287499
"717 S Desplaines St, Chicago, IL, 60607",41.87319547138975,-87.64374207972224
"8280 Castleton Corner Drive, Indianapolis, IN, 46250",39.9068255,-86.0714449
"1110 Woodbury Ave, Council Bluffs, IA, 51503",41.2413372,-95.8262615
"2601 104th St, Urbandale, IA, 50322",41.617773066871166,-93.76045680538223
"2801 Tchoupitoulas Street, New Orleans, LA, 70115",29.920661,-90.078507
"364 Maine Mall Rd, South Portland, ME, 04106",43.6341705,-70.3365511
"7000 ARUNDEL MILLS CIR, HANOVER, MD, 21076",39.1596579,-76.723355
"9428 Reisterstown Road, Owings Mills, MD, 21117",39.4012185,-76.7551063
"7101 Democracy Blvd, Bethesda, MD, 20817",39.024176,-77.14609243587867
"1300 ROCKVILLE PIKE, ROCKVILLE, MD, 20852",39.069528,-77.130452
"2320 Broadbirch Dr, Silver Spring, MD, 20904",39.0564075,-76.96022352534183
"888 Boylston Street, Boston, MA, 02116",42.34804245,-71.08278304798284
